,In_Degree,Out_Degree,Degree_SUM,Closeness_SUM,Betweenness_SUM
Avoided.activities,2,2,11,0.5476190476190477,0.033429705215419506
Avoided.people,1,1,11,0.5726190476190476,0.09587868480725624
Dwelled.on.the.past,1,0,8,0.6626984126984128,0.10242063492063493
Experienced.loss.of.interest.or.pleasure,2,1,9,0.6193379790940766,0.0696655328798186
Experienced.muscle.tension,1,2,8,0.6019536019536019,0.1377154195011338
Felt.accepted.or.supported,0,0,5,0.5121951219512195,0.05723922902494331
Felt.angry,1,1,6,0.5380952380952381,0.021417233560090704
Felt.content,0,2,6,0.44680851063829785,0.016315192743764174
Felt.down.or.depressed,0,0,4,0.4666666666666667,0.0334920634920635
Felt.energetic,0,0,2,0.3442622950819672,0.011111111111111112
Felt.enthusiastic,1,0,5,0.5079365079365079,0.05238095238095239
Felt.fatigued,1,2,6,0.4961904761904762,0.07083333333333333
Felt.frightened.or.afraid,1,0,5,0.5534632034632034,0.046258503401360535
Felt.hopeless,0,1,7,0.5526315789473685,0.11236394557823129
Felt.irritable,0,0,5,0.4883720930232558,0.07061791383219955
Felt.positive,0,1,6,0.4883720930232558,0.07071428571428572
Felt.restless,1,0,4,0.4851190476190476,0.006961451247165534
Felt.threatened..judged..or.intimidated,0,0,10,0.6363636363636364,0.2028061224489796
Felt.worried,1,2,8,0.5598006644518272,0.05903628117913833
Felt.worthless.or.guilty,1,0,6,0.5761904761904761,0.029603174603174603
Had.difficulty.concentrating,3,1,7,0.5522751322751323,0.011043083900226756
Procrastinated,0,1,5,0.4375,0.012505668934240363
