,In_Degree,Out_Degree,Degree_SUM,Closeness_SUM,Betweenness_SUM
Avoided.activities,0,1,8,0.4883720930232558,0.05099206349206349
Avoided.people,0,0,6,0.4883720930232558,0.08253968253968255
Dwelled.on.the.past,2,1,7,0.5041407867494824,0.03896825396825397
Experienced.loss.of.interest.or.pleasure,0,0,6,0.5121951219512195,0.08551587301587302
Experienced.muscle.tension,0,0,3,0.42,0.02682539682539683
Felt.accepted.or.supported,0,0,4,0.44680851063829785,0.04615079365079365
Felt.angry,0,1,3,0.3442622950819672,0.0
Felt.content,0,1,6,0.4772727272727273,0.032341269841269844
Felt.down.or.depressed,0,1,6,0.5121951219512195,0.11523809523809522
Felt.energetic,0,0,6,0.5,0.0913888888888889
Felt.enthusiastic,0,1,5,0.44680851063829785,0.006111111111111111
Felt.fatigued,1,0,6,0.5142857142857142,0.0663888888888889
Felt.frightened.or.afraid,0,0,2,0.3684210526315789,0.0025396825396825397
Felt.hopeless,0,0,4,0.42857142857142855,0.06341269841269842
Felt.irritable,2,1,7,0.5041407867494824,0.1040873015873016
Felt.positive,0,0,6,0.4772727272727273,0.06019841269841269
Felt.restless,0,0,5,0.5,0.10115079365079366
Felt.threatened..judged..or.intimidated,0,0,6,0.525,0.1253968253968254
Felt.worried,2,1,7,0.49442755825734547,0.04730158730158731
Felt.worthless.or.guilty,0,0,5,0.5121951219512195,0.09563492063492064
Had.difficulty.concentrating,1,0,5,0.47619047619047616,0.061071428571428554
Procrastinated,0,0,5,0.4117647058823529,0.015793650793650794
